Cell,lon,lat
Cell1,108.694374,30.45943
Cell2,108.69559,30.470263
Cell3,108.70981,30.333973
Cell4,108.709816,30.333946
Cell5,108.7183,30.479408
Cell6,108.71834,30.479248
Cell7,108.90706,30.295391
Cell8,108.91192,30.285345
Cell9,108.91364,30.27807
Cell10,108.92063,30.314705
Cell11,108.921745,29.571127
Cell12,108.927271,30.290407
Cell13,108.93206,30.298512
Cell14,108.94197,30.28468
Cell15,108.94791,30.289513
Cell16,108.94831,30.299362
Cell17,108.97526,30.273214
Cell18,109.114105,29.875814
Cell19,109.25344,29.431938
Cell20,109.29861,30.348099
Cell21,109.324715,29.304308
Cell22,109.35163,29.415712
Cell23,109.367352,29.394065
Cell24,109.38465,29.471802
Cell25,109.385796,29.466295
Cell26,109.410774,29.507484
Cell27,109.417656,29.519903
Cell28,109.499214,29.761742
Cell29,109.71999,32.319077
Cell30,109.74635,32.319283
Cell31,109.85459,30.508392
Cell32,109.914024,32.36403
Cell33,110.038864,33.154884
Cell34,110.07956,32.266068
Cell35,110.36692,32.899323
Cell36,110.53034,30.424171
Cell37,110.738021,32.653571
Cell38,110.73881,32.076866
Cell39,110.830215,32.8605
Cell40,110.91035,30.218473
Cell41,110.96221,30.52068
Cell42,111.01002,32.85175
Cell43,111.09348,30.183805
Cell44,111.26024,30.103525
Cell45,111.30775,30.946371
Cell46,111.41189,29.95881
Cell47,111.43148,30.412376
Cell48,111.436874,30.373236
Cell49,111.44767,30.38762
Cell50,111.45424,30.39743
Cell51,111.45426,30.397423
Cell52,111.46023,30.380423
Cell53,111.46546,30.404135
Cell54,111.51918,32.27571
Cell55,111.523155,30.426931
Cell56,111.52667,30.251938
Cell57,111.529205,32.20371
Cell58,111.53979,30.64484
Cell59,111.54251,29.996758
Cell60,111.56153,30.250504
Cell61,111.56491,30.254696
Cell62,111.56878,30.451113
Cell63,111.5791,30.744488
Cell64,111.57984,30.472273
Cell65,111.58479,30.639618
Cell66,111.59665,32.367744
Cell67,111.60751,30.358515
Cell68,111.61234,30.386543
Cell69,111.61314,30.988373
Cell70,111.61724,32.47645
Cell71,111.61973,32.277676
Cell72,111.62661,29.977331
Cell73,111.62991,32.27132
Cell74,111.6371,32.278896
Cell75,111.64723,30.38594
Cell76,111.65575,30.935083
Cell77,111.684265,32.345764
Cell78,111.68746,30.790321
Cell79,111.68748,30.790327
Cell80,111.69468,32.35521
Cell81,111.716995,30.55999
Cell82,111.71826,32.27955
Cell83,111.718285,32.27958
Cell84,111.720215,30.007515
Cell85,111.72962,30.439789
Cell86,111.73899,30.437298
Cell87,111.740295,30.472443
Cell88,111.74775,30.446386
Cell89,111.75025,31.169264
Cell90,111.75981,30.427372
Cell91,111.76006,30.171251
Cell92,111.76092,30.431091
Cell93,111.76308,30.808043
Cell94,111.76456,30.177858
Cell95,111.77556,30.814613
Cell96,111.77916,29.925701
Cell97,111.78106,30.842682
Cell98,111.78335,30.199217
Cell99,111.78628,30.18296
Cell100,111.794266,30.568731
Cell101,111.80735,30.815607
Cell102,111.80748,32.13543
Cell103,111.80796,32.141514
Cell104,111.816795,30.803719
Cell105,111.82126,32.13337
Cell106,111.82141,32.119133
Cell107,111.829185,32.15731
Cell108,111.82937,31.788467
Cell109,111.84087,31.868769
Cell110,111.84395,31.784729
Cell111,111.84895,31.780354
Cell112,111.875015,29.877447
Cell113,111.88351,31.788921
Cell114,111.90911,30.171818
Cell115,111.910866,31.704391
Cell116,111.9139,31.796362
Cell117,111.93268,29.889938
Cell118,111.93712,30.670511
Cell119,111.93712,30.670565
Cell120,111.93767,30.730865
Cell121,111.938483,30.680247
Cell122,111.93958,31.988663
Cell123,111.94286,30.763401
Cell124,111.948784,30.622091
Cell125,111.95681,31.718662
Cell126,111.95946,30.016272
Cell127,111.97438,32.10774
Cell128,111.978294,30.844816
Cell129,111.97986,31.832567
Cell130,111.99188,32.04761
Cell131,111.99411,31.829409
Cell132,112.00166,30.817417
Cell133,112.00536,31.68368
Cell134,112.005455,30.059122
Cell135,112.008194,31.070604
Cell136,112.01038,31.675924
Cell137,108.654274,30.262674
Cell138,108.83395,30.300692
Cell139,108.89538,30.514017
Cell140,108.9268,30.299957
Cell141,108.929665,30.285868
Cell142,108.934977,30.281641
Cell143,108.93567,30.307538
Cell144,108.94838,30.305874
Cell145,108.96151,30.281107
Cell146,108.983444,30.479773
Cell147,109.14828,29.676266
Cell148,109.21384,29.204033
Cell149,109.24786,29.156036
Cell150,109.272736,29.283163
Cell151,109.27274,29.283152
Cell152,109.28666,29.482841
Cell153,109.30099,29.619446
Cell154,109.340836,29.428396
Cell155,109.37588,29.44074
Cell156,109.37596,30.378712
Cell157,109.395935,29.508434
Cell158,109.40246,29.491192
Cell159,109.41116,29.667103
Cell160,109.41185,29.69646
Cell161,109.4176,29.519945
Cell162,109.77544,30.444311
Cell163,110.07938,30.346722
Cell164,110.224907,32.219893
Cell165,110.29454,30.453928
Cell166,110.36401,30.23291
Cell167,110.46553,30.34894
Cell168,110.667145,30.20645
Cell169,110.71624,32.061073
Cell170,110.71629,32.061092
Cell171,110.73041,32.839916
Cell172,110.83794,32.83853
Cell173,110.87804,30.172964
Cell174,111.060295,32.43619
Cell175,111.07126,30.422577
Cell176,111.07535,32.47066
Cell177,111.1228,30.31363
Cell178,111.1228,30.313631
Cell179,111.25359,30.508501
Cell180,111.254084,32.368362
Cell181,111.292114,32.590275
Cell182,111.38605,30.393932
Cell183,111.40619,30.49764
Cell184,111.44111,30.387285
Cell185,111.457275,30.388115
Cell186,111.46216,30.376116
Cell187,111.465515,30.365288
Cell188,111.47837,30.256453
Cell189,111.49037,32.255524
Cell190,111.49293,30.334007
Cell191,111.49755,30.279823
Cell192,111.51527,30.971703
Cell193,111.51676,30.287367
Cell194,111.5176,32.53701
Cell195,111.52515,30.827177
Cell196,111.53979,30.644884
Cell197,111.55118,30.24295
Cell198,111.562077,30.603082
Cell199,111.57415,32.47841
Cell200,111.576645,30.694078
Cell201,111.58739,29.964617
Cell202,111.59202,29.968517
Cell203,111.6228,30.57591
Cell204,111.633224,30.368847
Cell205,111.635025,30.435425
