p,x,y,j,c
460-00-705639-193,114.97088,30.09801,C1,1
460-00-120041-65,114.970711,30.107355,C1,1
460-00-119828-66,114.973897,30.100875,C1,1
460-00-119868-64,114.972832,30.104997,C1,1
460-00-119853-66,114.975941,30.096287,C1,1
460-00-119856-66,114.971601,30.09001,C1,1
460-00-119868-65,114.972832,30.104997,C1,1
460-00-458646-5,111.285808,30.707823,C10,1
460-00-575028-65,111.294406,30.689368,C10,1
460-00-122065-64,111.30315,30.688606,C10,1
460-00-574494-66,111.300644,30.736712,C10,1
460-00-574966-66,111.32817,30.78063,C10,1
460-00-575071-64,111.337464,30.784865,C10,1
460-00-574879-66,111.343925,30.79376,C10,1
460-00-719747-65,111.30064,30.68602,C10,1
460-00-457816-1,111.28352,30.69428,C10,1
460-00-122180-71,111.364395,30.652811,C10,1
460-00-570796-76,111.302826,30.682901,C10,1
460-00-457663-5,111.28151,30.71713,C10,1
460-00-574714-64,111.35331,30.800402,C10,1
460-00-574925-65,111.287649,30.726511,C10,1
460-00-570494-66,111.31118,30.70681,C10,1
460-00-457802-10,111.30913,30.72397,C10,1
460-00-911232-130,111.360596,30.80886,C10,1
460-00-719674-66,111.295222,30.712825,C10,1
460-00-458646-1,111.285808,30.707823,C10,1
460-00-458693-2,111.285707,30.709373,C10,1
460-00-457990-2,111.35864,30.64692,C10,1
460-00-719920-72,111.36168,30.642351,C10,1
460-00-987971-131,111.360901,30.64613,C10,1
460-00-574882-66,111.36053,30.80314,C10,1
460-00-457657-10,111.28403,30.708937,C10,1
460-00-574922-64,111.279467,30.706137,C10,1
460-00-575098-65,111.356731,30.643819,C10,1
460-00-570494-68,111.31118,30.70681,C10,1
460-00-571385-92,111.34531,30.76219,C10,1
460-00-458332-3,111.31468,30.77657,C10,1
460-00-987691-133,111.30466,30.682713,C10,1
460-00-575011-71,111.360825,30.646143,C10,1
460-00-574963-64,111.31297,30.76924,C10,1
460-00-574529-64,111.356125,30.791553,C10,1
460-00-910759-140,111.28617,30.709188,C10,1
460-00-987211-148,111.30829,30.693588,C10,1
460-00-570963-68,111.30245,30.706331,C10,1
460-00-570518-68,111.29058,30.70564,C10,1
460-00-911007-131,111.36044,30.64984,C10,1
460-00-719825-66,111.29425,30.713295,C10,1
460-00-575056-71,111.35662,30.645796,C10,1
460-00-571384-75,111.34531,30.76219,C10,1
460-00-574714-65,111.35331,30.800402,C10,1
460-00-575056-65,111.356629,30.645913,C10,1
460-00-571121-66,111.312462,30.71036,C10,1
460-00-570892-65,111.293236,30.763727,C10,1
460-00-571385-66,111.34531,30.76219,C10,1
460-00-570796-73,111.30374,30.682938,C10,1
460-00-574991-65,111.344524,30.641205,C10,1
460-00-910917-131,111.36626,30.64428,C10,1
460-00-574948-65,111.300018,30.70054,C10,1
460-00-575027-65,111.312395,30.690503,C10,1
460-00-574873-65,111.36378,30.79509,C10,1
460-00-300620-133,111.35912,30.80035,C10,1
460-00-574873-64,111.36378,30.79509,C10,1
460-00-570675-67,111.37121,30.804173,C10,1
